Name,Chromosome,Region,Expression value,Gene length,RPKM,Unique gene reads,Total gene reads
Franean1_0001,CP000820,71..1654,0,1584,0,0,0
Franean1_0002,CP000820,2937..3959,0,1023,0,0,0
Franean1_0003,CP000820,3956..5116,0.215105991383735,1161,0.215105991383735,4,4
Franean1_0004,CP000820,5118..6491,0,1374,0,0,0
Franean1_0005,CP000820,6712..7245,0,534,0,0,0
Franean1_0006,CP000820,7555..9513,0.89237692290741,1959,0.89237692290741,28,28
Franean1_0007,CP000820,9711..12224,0.422190428792838,2514,0.422190428792838,17,17
Franean1_0008,CP000820,12333..14270,0.289943563463448,1938,0.289943563463448,9,9
Franean1_0009,CP000820,15245..15862,0.101026721681439,618,0.101026721681439,1,1
Franean1_0010,CP000820,complement(15821..17065),0,1245,0,0,0
Franean1_0011,CP000820,complement(17052..17921),0.0717638091944013,870,0.0717638091944013,1,1
Franean1_0012,CP000820,complement(17915..19291),0,1377,0,0,0
Franean1_0013,CP000820,complement(19531..19959),0,429,0,0,0
Franean1_0014,CP000820,20169..20873,0,705,0,0,0
Franean1_0015,CP000820,complement(20881..21498),0,618,0,0,0
Franean1_0016,CP000820,complement(21745..22848),0,1104,0,0,0
Franean1_0017,CP000820,23241..24332,0.28587231684583,1092,0.28587231684583,5,5
Franean1_0018,CP000820,complement(24683..25021),0.184172607667048,339,0.184172607667048,1,1
Franean1_0019,CP000820,25136..25678,0.459922755058042,543,0.459922755058042,4,4
Franean1_0020,CP000820,25853..26017,0,165,0,0,0
Franean1_0021,CP000820,complement(26159..26716),0.223779620068563,558,0.223779620068563,2,2
Franean1_0022,CP000820,complement(26953..28206),0.0995765773510832,1254,0.0995765773510832,2,2
Franean1_0023,CP000820,complement(28203..29546),0,1344,0,0,0
Franean1_0024,CP000820,29898..30662,0,765,0,0,0
Franean1_0025,CP000820,30889..31950,0,1062,0,0,0
Franean1_0027,CP000820,complement(35609..36013),0,405,0,0,0
Franean1_0028,CP000820,complement(36044..36967),0,924,0,0,0
Franean1_0029,CP000820,37290..37865,0,576,0,0,0
Franean1_0030,CP000820,37862..38839,0.127677942738505,978,0.127677942738505,2,2
Franean1_0031,CP000820,complement(39584..40471),4.71071220488925,888,4.71071220488925,67,67
Franean1_0032,CP000820,complement(40475..41677),8.77093338807384,1203,8.77093338807384,169,169
