Name	Chromosome	Region	Expression value	Gene length	RPKM	Unique gene reads	Total gene reads
Francci3_0001	NC_007777 with rRNA	35..1723	37.69394363	1689	37.69394363	110	110
Francci3_0003	NC_007777 with rRNA	2488..3696	86.64845337	1209	86.64845337	181	181
recF	NC_007777 with rRNA	3698..4897	37.62026911	1200	37.62026911	78	78
Francci3_0005	NC_007777 with rRNA	4887..5708	4.928727003	822	4.928727003	7	7
gyrB	NC_007777 with rRNA	5916..7955	85.39744345	2040	85.39744345	301	301
Francci3_0007	NC_007777 with rRNA	8155..10659	55.22029367	2505	55.22029367	239	239
Francci3_0008	NC_007777 with rRNA	complement(10825..11724)	9.646222848	900	9.646222848	15	15
Francci3_0009	NC_007777 with rRNA	11810..12496	29.48627071	687	29.48627071	35	35
Francci3_0010	NC_007777 with rRNA	13122..14525	11.54248888	1404	11.54248888	28	28
Francci3_0011	NC_007777 with rRNA	14536..15267	3.162696016	732	3.162696016	4	4
Francci3_0012	NC_007777 with rRNA	15254..16435	8.813807678	1182	8.813807678	18	18
Francci3_0013	NC_007777 with rRNA	complement(16418..16990)	16.16121105	573	16.16121105	16	16
Francci3_0014	NC_007777 with rRNA	complement(17127..17819)	28.39580752	693	28.39580752	34	34
Francci3_0015	NC_007777 with rRNA	18601..20655	9.857454005	2055	9.857454005	35	35
Francci3_0016	NC_007777 with rRNA	20624..22171	3.738846065	1548	3.738846065	10	10
Francci3_0017	NC_007777 with rRNA	22428..25316	3.005053847	2889	3.005053847	15	15
Francci3_0018	NC_007777 with rRNA	25679..27331	14.70567548	1653	14.70567548	42	42
Francci3_0019	NC_007777 with rRNA	27358..27978	16.77603974	621	16.77603974	18	18
Francci3_0020	NC_007777 with rRNA	28057..29211	21.54740688	1155	21.54740688	43	43
Francci3_0021	NC_007777 with rRNA	29208..30038	12.53660731	831	12.53660731	18	18
Francci3_0022	NC_007777 with rRNA	30046..30873	18.17404305	828	18.17404305	26	26
Francci3_0023	NC_007777 with rRNA	30875..31867	19.81701371	993	19.81701371	34	34
Francci3_0024	NC_007777 with rRNA	31864..32142	18.67010874	279	18.67010874	9	9
Francci3_0025	NC_007777 with rRNA	32272..32565	11.81170145	294	11.81170145	6	6
Francci3_0026	NC_007777 with rRNA	32562..32816	6.809098481	255	6.809098481	3	3
Francci3_0027	NC_007777 with rRNA	32939..34468	10.21364772	1530	10.21364772	27	27
Francci3_0028	NC_007777 with rRNA	complement(34525..34953)	63.4087376	429	63.4087376	47	47
Francci3_0029	NC_007777 with rRNA	complement(35311..35586)	0	276	0	0	0
Francci3_0030	NC_007777 with rRNA	complement(35871..37199)	3.919458493	1329	3.919458493	9	9
Francci3_0031	NC_007777 with rRNA	37685..38491	43.03147739	807	43.03147739	60	60
Francci3_0032	NC_007777 with rRNA	complement(38911..39249)	29.02403335	339	29.02403335	17	17
Francci3_0033	NC_007777 with rRNA	39396..39938	71.4140255	543	71.4140255	67	67
Francci3_0034	NC_007777 with rRNA	complement(39979..42114)	35.76689371	2136	35.76689371	132	132
Francci3_0035	NC_007777 with rRNA	complement(42111..43613)	73.55004247	1503	73.55004247	191	191
