Name	Chromosome	Region	Expression value	Gene length	RPKM	Unique gene reads	Total gene reads
Francci3_0001	NC_007777 with rRNA	35..1723	28.80144001	1689	28.80144001	106	106
Francci3_0003	NC_007777 with rRNA	2488..3696	45.93006455	1209	45.93006455	121	121
recF	NC_007777 with rRNA	3698..4897	19.88657919	1200	19.88657919	52	52
Francci3_0005	NC_007777 with rRNA	4887..5708	2.791490622	822	2.791490622	5	5
gyrB	NC_007777 with rRNA	5916..7955	49.49148667	2040	49.49148667	220	220
Francci3_0007	NC_007777 with rRNA	8155..10659	31.51074731	2505	31.51074731	172	172
Francci3_0008	NC_007777 with rRNA	complement(10825..11724)	5.099122869	900	5.099122869	10	10
Francci3_0009	NC_007777 with rRNA	11810..12496	18.0361988	687	18.0361988	27	27
Francci3_0010	NC_007777 with rRNA	13122..14525	7.844804414	1404	7.844804414	24	24
Francci3_0011	NC_007777 with rRNA	14536..15267	3.134706682	732	3.134706682	5	5
Francci3_0012	NC_007777 with rRNA	15254..16435	3.494322778	1182	3.494322778	9	9
Francci3_0013	NC_007777 with rRNA	complement(16418..16990)	7.208184161	573	7.208184161	9	9
Francci3_0014	NC_007777 with rRNA	complement(17127..17819)	23.84005497	693	23.84005497	36	36
Francci3_0015	NC_007777 with rRNA	18601..20655	4.689704245	2055	4.689704245	21	21
Francci3_0016	NC_007777 with rRNA	20624..22171	1.778763792	1548	1.778763792	6	6
Francci3_0017	NC_007777 with rRNA	22428..25316	2.700470055	2889	2.700470055	17	17
Francci3_0018	NC_007777 with rRNA	25679..27331	10.54990938	1653	10.54990938	38	38
Francci3_0019	NC_007777 with rRNA	27358..27978	8.868039773	621	8.868039773	12	12
Francci3_0020	NC_007777 with rRNA	28057..29211	21.45604948	1155	21.45604948	54	54
Francci3_0021	NC_007777 with rRNA	29208..30038	11.59728306	831	11.59728306	21	21
Francci3_0022	NC_007777 with rRNA	30046..30873	17.73607955	828	17.73607955	32	32
Francci3_0023	NC_007777 with rRNA	30875..31867	44.82914668	993	44.82914668	97	97
Francci3_0024	NC_007777 with rRNA	31864..32142	14.8039051	279	14.8039051	9	9
Francci3_0025	NC_007777 with rRNA	32272..32565	21.85338373	294	21.85338373	14	14
Francci3_0026	NC_007777 with rRNA	32562..32816	3.599380849	255	3.599380849	2	2
Francci3_0027	NC_007777 with rRNA	32939..34468	5.998968082	1530	5.998968082	20	20
Francci3_0028	NC_007777 with rRNA	complement(34525..34953)	34.23187381	429	34.23187381	32	32
Francci3_0029	NC_007777 with rRNA	complement(35311..35586)	0	276	0	0	0
