Name,Chromosome,Region,Expression value,Gene length,RPKM,Unique gene reads,Total gene reads
Franean1_0001,CP000820,71..1654,0.0690474732588112,1584,0.0690474732588112,1,1
Franean1_0002,CP000820,2937..3959,0.213824433317609,1023,0.213824433317609,2,2
Franean1_0003,CP000820,3956..5116,0,1161,0,0,0
Franean1_0004,CP000820,5118..6491,0,1374,0,0,0
Franean1_0005,CP000820,6712..7245,0,534,0,0,0
Franean1_0006,CP000820,7555..9513,1.73073360229743,1959,1.73073360229743,31,31
Franean1_0007,CP000820,9711..12224,0.609067926407079,2514,0.609067926407079,14,14
Franean1_0008,CP000820,12333..14270,0.338610519015347,1938,0.338610519015347,6,6
Franean1_0009,CP000820,15245..15862,0,618,0,0,0
Franean1_0010,CP000820,complement(15821..17065),0.263545054558932,1245,0.263545054558932,3,3
Franean1_0011,CP000820,complement(17052..17921),0,870,0,0,0
Franean1_0012,CP000820,complement(17915..19291),0.158854317562755,1377,0.158854317562755,2,2
Franean1_0013,CP000820,complement(19531..19959),0,429,0,0,0
Franean1_0014,CP000820,20169..20873,0,705,0,0,0
Franean1_0015,CP000820,complement(20881..21498),0,618,0,0,0
Franean1_0016,CP000820,complement(21745..22848),0,1104,0,0,0
Franean1_0017,CP000820,23241..24332,0.600940646384379,1092,0.600940646384379,6,6
Franean1_0018,CP000820,complement(24683..25021),0,339,0,0,0
Franean1_0019,CP000820,25136..25678,0,543,0,0,0
Franean1_0020,CP000820,25853..26017,3.31427871642294,165,3.31427871642294,5,5
Franean1_0021,CP000820,complement(26159..26716),0.392011461082283,558,0.392011461082283,2,2
Franean1_0022,CP000820,complement(26953..28206),0.174435721916997,1254,0.174435721916997,2,2
Franean1_0023,CP000820,complement(28203..29546),0.244132137593654,1344,0.244132137593654,3,3
Franean1_0024,CP000820,29898..30662,0,765,0,0,0
Franean1_0025,CP000820,30889..31950,0,1062,0,0,0
Franean1_0027,CP000820,complement(35609..36013),0,405,0,0,0
Franean1_0028,CP000820,complement(36044..36967),0,924,0,0,0
Franean1_0029,CP000820,37290..37865,0,576,0,0,0
Franean1_0030,CP000820,37862..38839,0,978,0,0,0
Franean1_0031,CP000820,complement(39584..40471),3.57180713019905,888,3.57180713019905,29,29
Franean1_0032,CP000820,complement(40475..41677),5.72766870444164,1203,5.72766870444164,63,63
Franean1_0033,CP000820,complement(42120..42485),0.597656817715612,366,0.597656817715612,2,2
Franean1_0034,CP000820,complement(42461..43171),7.22988226325173,711,7.22988226325173,47,47
Franean1_0035,CP000820,complement(43221..43496),1.18881736567345,276,1.18881736567345,3,3
Franean1_0036,CP000820,43699..44568,0.502856081112446,870,0.502856081112446,4,4
Franean1_0037,CP000820,44565..44774,0.520815226866462,210,0.520815226866462,1,1
Franean1_0038,CP000820,45693..46814,0,1122,0,0,0
Franean1_0039,CP000820,46811..47149,0,339,0,0,0
Franean1_0040,CP000820,47146..48660,0,1515,0,0,0
Franean1_0041,CP000820,complement(48701..49600),0,900,0,0,0
Franean1_0042,CP000820,49995..50705,0.307654564393691,711,0.307654564393691,2,2
Franean1_0043,CP000820,51034..56460,0.0403063193815946,5427,0.0403063193815946,2,2
Franean1_0044,CP000820,56470..56763,0,294,0,0,0
Franean1_0045,CP000820,56774..60883,0,4110,0,0,0
Franean1_0046,CP000820,complement(61226..61570),0,345,0,0,0
Franean1_0047,CP000820,complement(61583..61909),0,327,0,0,0
Franean1_0048,CP000820,61929..62132,0,204,0,0,0
Franean1_0049,CP000820,complement(62283..63137),0,855,0,0,0
Franean1_0050,CP000820,complement(63167..63649),0,483,0,0,0
Franean1_0051,CP000820,63682..65379,0,1698,0,0,0
Franean1_0052,CP000820,65379..66158,0.28043896831271,780,0.28043896831271,2,2
Franean1_0053,CP000820,complement(66165..67283),0,1119,0,0,0
Franean1_0054,CP000820,complement(67290..68258),0,969,0,0,0
Franean1_0055,CP000820,complement(68240..69427),0,1188,0,0,0
Franean1_0056,CP000820,complement(69424..72531),0,3108,0,0,0
Franean1_0057,CP000820,complement(72610..72801),0,192,0,0,0
Franean1_0058,CP000820,complement(72866..74167),0,1302,0,0,0
Franean1_0059,CP000820,74912..76456,0.849485030228792,1545,0.849485030228792,12,12
Franean1_0060,CP000820,complement(76584..76895),0,312,0,0,0
Franean1_0061,CP000820,76974..77804,0.263227912495685,831,0.263227912495685,2,2
Franean1_0062,CP000820,77817..79001,0.184592738636214,1185,0.184592738636214,2,2
Franean1_0064,CP000820,complement(80009..80491),0,483,0,0,0
Franean1_0065,CP000820,80561..80929,0,369,0,0,0
Franean1_0066,CP000820,complement(81495..82970),0.592797819197599,1476,0.592797819197599,8,8
Franean1_0067,CP000820,complement(82991..83287),0,297,0,0,0
Franean1_0068,CP000820,complement(83438..83728),0,291,0,0,0
Franean1_0069,CP000820,83908..84387,0.683569985262231,480,0.683569985262231,3,3
Franean1_0070,CP000820,complement(84437..85057),0.176121091210881,621,0.176121091210881,0,1
Franean1_0071,CP000820,complement(84982..85521),2.02539254892513,540,2.02539254892513,0,10
Franean1_0072,CP000820,86789..89791,0,3003,0,0,0
Franean1_0073,CP000820,90092..91351,0,1260,0,0,0
Franean1_0074,CP000820,91442..92632,0,1191,0,0,0
Franean1_0075,CP000820,92648..93160,0,513,0,0,0
Franean1_0076,CP000820,93263..93886,0,624,0,0,0
Franean1_0077,CP000820,complement(94301..95116),0,816,0,0,0
Franean1_0078,CP000820,complement(95113..95979),0,867,0,0,0
Franean1_0079,CP000820,96103..96657,0,555,0,0,0
Franean1_0080,CP000820,complement(97102..97470),0,369,0,0,0
Franean1_0081,CP000820,complement(97795..99000),0,1206,0,0,0
Franean1_0082,CP000820,complement(98997..99656),0,660,0,0,0
Franean1_0083,CP000820,99828..100331,0,504,0,0,0
Franean1_0084,CP000820,100328..101554,0,1227,0,0,0
Franean1_0085,CP000820,101551..102258,0,708,0,0,0
Franean1_0086,CP000820,102255..103571,0,1317,0,0,0
Franean1_0087,CP000820,103928..104269,1.27919529405798,342,1.27919529405798,4,4
Franean1_0088,CP000820,complement(104451..105926),0.1481994547994,1476,0.1481994547994,2,2
Franean1_0089,CP000820,106070..106681,0,612,0,0,0
Franean1_0090,CP000820,106678..107595,0,918,0,0,0
Franean1_0091,CP000820,complement(107696..108688),0,993,0,0,0
Franean1_0092,CP000820,complement(108808..109800),0,993,0,0,0
Franean1_0093,CP000820,110033..110944,0,912,0,0,0
Franean1_0094,CP000820,111434..112696,0.606174492077355,1263,0.606174492077355,6,7
Franean1_0095,CP000820,complement(112875..113852),0,978,0,0,0
Franean1_0096,CP000820,complement(113892..114695),0,804,0,0,0
Franean1_0097,CP000820,complement(114692..115714),0,1023,0,0,0
Franean1_0098,CP000820,complement(115711..117012),0.336009823784814,1302,0.336009823784814,4,4
Franean1_0099,CP000820,complement(117226..118992),0.0618965464866763,1767,0.0618965464866763,1,1
Franean1_0100,CP000820,complement(119081..119740),0,660,0,0,0
Franean1_0101,CP000820,complement(119884..121128),0,1245,0,0,0
Franean1_0102,CP000820,121434..122270,0,837,0,0,0
Franean1_0103,CP000820,122399..123010,0.536133321774299,612,0.536133321774299,3,3
Franean1_0104,CP000820,complement(123040..123750),0,711,0,0,0
Franean1_0105,CP000820,complement(123775..124047),0,273,0,0,0
Franean1_0106,CP000820,complement(124071..125018),0.115370461647634,948,0.115370461647634,1,1
Franean1_0107,CP000820,125194..126174,0,981,0,0,0
Franean1_0108,CP000820,126171..127487,0.166091416312767,1317,0.166091416312767,2,2
Franean1_0109,CP000820,complement(127540..128625),0,1086,0,0,0
Franean1_0110,CP000820,128855..129745,0,891,0,0,0
Franean1_0111,CP000820,129761..130477,0.30508004921048,717,0.30508004921048,2,2
Franean1_0112,CP000820,complement(130611..132047),0.989440201353821,1437,0.989440201353821,13,13
Franean1_0113,CP000820,complement(132262..134859),0,2598,0,0,0
Franean1_0114,CP000820,complement(135288..135494),0,207,0,0,0
Franean1_0115,CP000820,136246..137430,0,1185,0,0,0
Franean1_0116,CP000820,137538..138677,0.191879294108696,1140,0.191879294108696,2,2
