Name	Chromosome	Region	Expression value	Gene length	RPKM	Unique gene reads	Total gene reads
Francci3_0001	NC_007777 with rRNA	35..1723	34.13790492	1689	34.13790492	146	146
Francci3_0003	NC_007777 with rRNA	2488..3696	57.81767503	1209	57.81767503	177	177
recF	NC_007777 with rRNA	3698..4897	24.35365402	1200	24.35365402	74	74
Francci3_0005	NC_007777 with rRNA	4887..5708	5.284872642	822	5.284872642	11	11
gyrB	NC_007777 with rRNA	5916..7955	55.3668128	2040	55.3668128	286	286
Francci3_0007	NC_007777 with rRNA	8155..10659	36.57580666	2505	36.57580666	232	232
Francci3_0008	NC_007777 with rRNA	complement(10825..11724)	4.38804577	900	4.38804577	10	10
Francci3_0009	NC_007777 with rRNA	11810..12496	29.31751104	687	29.31751104	51	51
Francci3_0010	NC_007777 with rRNA	13122..14525	4.781844749	1404	4.781844749	17	17
Francci3_0011	NC_007777 with rRNA	14536..15267	2.158055297	732	2.158055297	4	4
Francci3_0012	NC_007777 with rRNA	15254..16435	4.677612242	1182	4.677612242	14	14
Francci3_0013	NC_007777 with rRNA	complement(16418..16990)	8.959884033	573	8.959884033	13	13
Francci3_0014	NC_007777 with rRNA	complement(17127..17819)	28.4938037	693	28.4938037	50	50
Francci3_0015	NC_007777 with rRNA	18601..20655	7.494910293	2055	7.494910293	39	39
Francci3_0016	NC_007777 with rRNA	20624..22171	2.296070461	1548	2.296070461	9	9
Francci3_0017	NC_007777 with rRNA	22428..25316	4.100977355	2889	4.100977355	30	30
Francci3_0018	NC_007777 with rRNA	25679..27331	10.51219676	1653	10.51219676	44	44
Francci3_0019	NC_007777 with rRNA	27358..27978	6.359486623	621	6.359486623	10	10
Francci3_0020	NC_007777 with rRNA	28057..29211	15.386654	1155	15.386654	45	45
Francci3_0021	NC_007777 with rRNA	29208..30038	12.35622997	831	12.35622997	26	26
Francci3_0022	NC_007777 with rRNA	30046..30873	8.108345444	828	8.108345444	17	17
Francci3_0023	NC_007777 with rRNA	30875..31867	31.41893799	993	31.41893799	79	79
Francci3_0024	NC_007777 with rRNA	31864..32142	16.98598362	279	16.98598362	12	12
Francci3_0025	NC_007777 with rRNA	32272..32565	12.08951386	294	12.08951386	9	9
Francci3_0026	NC_007777 with rRNA	32562..32816	7.743610182	255	7.743610182	5	5
Francci3_0027	NC_007777 with rRNA	32939..34468	9.550452558	1530	9.550452558	37	37
Francci3_0028	NC_007777 with rRNA	complement(34525..34953)	46.94902117	429	46.94902117	51	51
Francci3_0029	NC_007777 with rRNA	complement(35311..35586)	0	276	0	0	0
Francci3_0030	NC_007777 with rRNA	complement(35871..37199)	1.782953134	1329	1.782953134	6	6
Francci3_0031	NC_007777 with rRNA	37685..38491	27.40489551	807	27.40489551	56	56
Francci3_0032	NC_007777 with rRNA	complement(38911..39249)	9.319743228	339	9.319743228	8	8
Francci3_0033	NC_007777 with rRNA	39396..39938	48.72912706	543	48.72912706	67	67
Francci3_0034	NC_007777 with rRNA	complement(39979..42114)	28.10321448	2136	28.10321448	152	152
Francci3_0035	NC_007777 with rRNA	complement(42111..43613)	52.55144634	1503	52.55144634	200	200
Francci3_0036	NC_007777 with rRNA	complement(43653..45035)	50.82899004	1383	50.82899004	178	178
Francci3_0037	NC_007777 with rRNA	complement(45032..45817)	225.599147	786	225.599147	449	449
Francci3_0038	NC_007777 with rRNA	complement(45887..46303)	82.39424071	417	82.39424071	87	87
Francci3_0039	NC_007777 with rRNA	complement(46300..48741)	39.6217892	2442	39.6217892	245	245
Francci3_0040	NC_007777 with rRNA	49299..50174	3.155786341	876	3.155786341	7	7
Francci3_0041	NC_007777 with rRNA	50181..51176	11.8953048	996	11.8953048	30	30
Francci3_0042	NC_007777 with rRNA	51205..51471	8.87469931	267	8.87469931	6	6
Francci3_0043	NC_007777 with rRNA	complement(51706..53304)	5.927566518	1599	5.927566518	24	24
Francci3_0044	NC_007777 with rRNA	complement(53428..56019)	9.294124721	2592	9.294124721	61	61
pgi	NC_007777 with rRNA	56163..57833	30.72419839	1671	30.72419839	130	130
Francci3_0046	NC_007777 with rRNA	57927..58268	8.083242207	342	8.083242207	7	7
Francci3_0047	NC_007777 with rRNA	58859..59182	2.437803205	324	2.437803205	2	2
Francci3_0048	NC_007777 with rRNA	complement(59204..62632)	8.292369959	3429	8.292369959	72	72
Francci3_0049	NC_007777 with rRNA	complement(62629..62964)	15.27980223	336	15.27980223	13	13
Francci3_0050	NC_007777 with rRNA	63095..63721	11.33753452	627	11.33753452	18	18
